model,number,game,rounds,origin,finished_at,size_kb
Gemini-3.8-Flash,94,825_94_dohyo_storm_3d,10,export,2026-09-12 07:14:41.452092,1524
Gemini-3.8-Flash,95,825_95_echo_edge_3d,10,export,2026-09-12 09:30:43.977711,1529
Gemini-3.8-Flash,96,825_96_harbor_pilot_3d,10,export,2026-09-12 08:52:52.443617,1540
Gemini-3.8-Flash,97,825_97_inkbound_realm_3d,10,export,2026-09-12 16:43:07.855273,1586
Gemini-3.8-Flash,98,825_98_longbow_marks_3d,10,export,2026-09-12 16:57:35.929031,1572
Gemini-3.8-Flash,99,825_99_polarity_blade_3d,10,export,2026-09-12 09:13:26.553352,1477
Gemini-3.8-Flash,100,825_100_steppe_strider_3d,10,sandbox,2026-09-12 00:48:48.533863,1535
Gemini-3.8-Flash,101,826_101_b612_wander_3d,10,export,2026-09-13 08:06:25.701667,1598
Gemini-3.8-Flash,102,826_102_boardwalk_shuffle_3d,10,export,2026-09-12 17:06:11.652682,1533
Gemini-3.8-Flash,103,826_103_boostball_arena_3d,10,export,2026-09-12 11:21:53.824738,1503
Gemini-3.8-Flash,104,826_104_breach_protocol_3d,10,export,2026-09-14 02:46:06.989518,1536
Gemini-3.8-Flash,105,826_105_brightmane_revue_3d,10,export,2026-09-13 03:13:29.306103,1697
Gemini-3.8-Flash,106,826_106_cardspire_3d,10,export,2026-09-12 11:44:23.738723,1545
Gemini-3.8-Flash,107,826_107_cascade_carnival_3d,10,export,2026-09-12 18:25:57.700956,1531
Gemini-3.8-Flash,108,826_108_colossus_ascent_3d,10,export,2026-09-12 18:30:41.385419,1614
Gemini-3.8-Flash,109,826_109_driftlayer_cup_3d,10,export,2026-09-13 08:06:45.083448,1562
Gemini-3.8-Flash,110,826_110_eightball_hustle_3d,10,export,2026-09-13 08:00:47.467732,1635
Gemini-3.8-Flash,111,826_111_emberwatch_district_3d,10,export,2026-09-13 08:29:01.073108,1555
Gemini-3.8-Flash,112,826_112_ferment_house_3d,10,export,2026-09-13 08:31:36.786350,1475
Gemini-3.8-Flash,113,826_113_frozen_testimony_3d,10,export,2026-09-13 08:56:35.064572,1624
Gemini-3.8-Flash,114,826_114_heartbeat_manor_3d,10,export,2026-09-12 20:08:02.459013,1501
Gemini-3.8-Flash,115,826_115_horseshoe_haven_3d,10,export,2026-09-12 20:40:39.507694,1521
Gemini-3.8-Flash,116,826_116_icebound_tipups_3d,10,export,2026-09-12 21:25:53.942197,1509
Gemini-3.8-Flash,117,826_117_ironarm_yard_3d,10,export,2026-09-13 04:01:08.971939,1529
Gemini-3.8-Flash,118,826_118_kanpai_kitchen_3d,10,export,2026-09-12 22:17:03.213646,1544
Gemini-3.8-Flash,119,826_119_kite_surfer_3d,10,export,2026-09-13 00:25:40.985729,1521
Gemini-3.8-Flash,120,826_120_linkage_works_3d,10,export,2026-09-12 22:30:20.730006,1553
GLM-5.3-Flash,46,823_46_glowputt_gardens_3d,6,export,2026-09-08 23:24:06.922119,1466
GLM-5.3-Flash,47,823_47_hidden_realm_roam_3d,9,sandbox,2026-09-08 22:39:48.674727,1521
GLM-5.3-Flash,48,823_48_lumenward_deep_3d,6,sandbox,2026-09-11 21:17:37.487383,1504
GLM-5.3-Flash,49,823_49_mirecaller_marsh_3d_k,7,export,2026-09-09 22:37:41.135309,1569
GLM-5.3-Flash,50,823_50_niulai_dream_3d_k,7,export,2026-09-09 22:36:47.973884,1494
GLM-5.3-Flash,51,823_51_rimefall_oath_3d_k,7,export,2026-09-10 00:40:20.405984,1547
GLM-5.3-Flash,52,823_52_shire_wander_3d,7,export,2026-09-09 21:11:53.553406,1548
GLM-5.3-Flash,53,823_53_skyfire_squadron_3d,7,export,2026-09-12 10:20:17.062126,1539
GLM-5.3-Flash,54,823_54_splashdown_gauntlet_3d,6,export,2026-09-13 09:42:11.522482,1514
GLM-5.3-Flash,55,823_55_summer_hollow_3d_k,7,export,2026-09-10 04:53:06.425331,1548
GLM-5.3-Flash,56,823_56_three_crown_eventing_3d,6,export,2026-09-13 08:43:31.937261,1501
GLM-5.3-Flash,57,823_57_verdant_chord_3d,6,export,2026-09-10 04:48:22.639036,1515
GLM-5.3-Flash,58,824_58_aurora_station_3d,11,export,2026-09-15 19:15:41.519388,1542
GLM-5.3-Flash,59,824_59_belt_city_brawl_3d,10,export,2026-09-10 08:14:49.544145,1521
GLM-5.3-Flash,60,824_60_bulls_and_bullseyes_3d,10,sandbox,2026-09-11 19:30:54.259858,1484
GLM-5.3-Flash,61,824_61_burrow_market_3d,10,sandbox,2026-09-11 18:28:37.228234,1505
GLM-5.3-Flash,62,824_62_canvas_kings_3d,9,sandbox,2026-09-11 18:33:54.967939,1493
GLM-5.3-Flash,63,824_63_drift_circuit_3d,10,export,2026-09-12 11:39:17.363544,1468
GLM-5.3-Flash,64,824_64_driftwood_isle_3d,9,sandbox,2026-09-11 22:37:34.338352,1517
GLM-5.3-Flash,65,824_65_dropzone_protocol_3d,9,export,2026-09-12 09:48:02.598555,1548
GLM-5.3-Flash,66,824_66_emberhold_defense_3d,9,sandbox,2026-09-11 19:47:35.002706,1499
GLM-5.3-Flash,67,824_67_fogwharf_fishing_3d,10,sandbox,2026-09-11 19:54:54.901801,1485
GLM-5.3-Flash,68,824_68_foil_and_flourish_3d,10,sandbox,2026-09-11 20:52:20.324547,1485
GLM-5.3-Flash,69,824_69_ghostline_duel_3d,11,sandbox,2026-09-11 19:38:22.711184,1519
GLM-5.3-Flash,70,824_70_griffon_post_3d,11,sandbox,2026-09-11 21:29:04.992701,1479
GLM-5.3-Flash,71,824_71_hearth_hollow_3d,10,sandbox,2026-09-11 22:36:44.548379,1497
GLM-5.3-Flash,72,824_72_hush_corridor_3d,10,export,2026-09-12 09:20:57.128817,1516
GLM-5.3-Flash,73,824_73_ironbell_ring_3d,9,sandbox,2026-09-11 22:59:26.751560,1481
GLM-5.3-Flash,74,824_74_karst_glide_3d,7,export,2026-09-14 06:01:45.203452,1499
GLM-5.3-Flash,75,824_75_longshot_ridge_3d,9,export,2026-09-10 20:05:29.222176,1610
GLM-5.3-Flash,76,824_76_nightline_metro_3d,11,export,2026-09-11 03:46:17.874196,1487
GLM-5.3-Flash,77,824_77_polaris_trek_3d,11,sandbox,2026-09-11 23:05:25.610767,1531
GLM-5.3-Flash,78,824_78_prism_blade_dojo_3d,9,export,2026-09-11 05:12:21.590210,1511
GLM-5.3-Flash,79,824_79_prism_highway_3d,10,sandbox,2026-09-11 22:56:19.954558,1500
GLM-5.3-Flash,80,824_80_ridgeflag_assault_3d,11,export,2026-09-11 01:03:21.221619,1498
GLM-5.3-Flash,81,824_81_ridgepoint_assault_3d,9,export,2026-09-10 20:28:51.221127,1521
GLM-5.3-Flash,82,824_82_ruinfall_protocol_3d,11,export,2026-09-13 09:33:09.593927,1606
GLM-5.3-Flash,83,824_83_skyward_command_3d,11,export,2026-09-11 02:25:42.088002,1477
GLM-5.3-Flash,84,824_84_stonefrost_curling_3d,11,sandbox,2026-09-11 23:06:56.664332,1481
GLM-5.3-Flash,85,824_85_terracotta_vigil_3d,9,sandbox,2026-09-12 00:50:18.081264,1497
GLM-5.3-Flash,86,824_86_tightrope_gala_3d,9,sandbox,2026-09-12 00:28:00.449372,1504
GLM-5.3-Flash,87,824_87_trench_walker_3d,11,export,2026-09-19 19:03:00.452279,1523
GLM-5.3-Flash,88,824_88_umbra_dock_3d,11,export,2026-09-13 10:37:59.611386,1529
GLM-5.3-Flash,89,824_89_vertical_limit_3d,11,export,2026-09-15 18:53:49.179536,1493
GLM-5.3-Flash,90,824_90_whisper_manor_3d,9,export,2026-09-15 21:55:33.411075,1498
GLM-5.3-Flash,91,825_91_aegean_odyssey_3d,11,export,2026-09-16 16:26:57.187849,1575
GLM-5.3-Flash,92,825_92_cadence_blade_3d,10,export,2026-09-15 21:30:03.403083,1530
GLM-5.3-Flash,93,825_93_chainbound_twins_3d,10,export,2026-09-15 21:40:38.575454,1533
GLM-5.3-Flash,94,825_94_dohyo_storm_3d,10,export,2026-09-15 23:13:52.031711,1467
GLM-5.3-Flash,95,825_95_echo_edge_3d,10,export,2026-09-20 00:33:18.914941,1540
GLM-5.3-Flash,96,825_96_harbor_pilot_3d,10,export,2026-09-16 14:17:41.630683,1473
GLM-5.3-Flash,97,825_97_inkbound_realm_3d,10,export,2026-09-14 19:38:15.617356,1565
GLM-5.3-Flash,98,825_98_longbow_marks_3d,10,export,2026-09-15 22:51:28.220753,1482
GLM-5.3-Flash,100,825_100_steppe_strider_3d,10,export,2026-09-15 19:51:30.975812,1489
GLM-5.3-Flash,101,826_101_b612_wander_3d,10,export,2026-09-15 23:10:59.212735,1543
GLM-5.3-Flash,102,826_102_boardwalk_shuffle_3d,10,export,2026-09-14 11:37:36.612044,1494
GLM-5.3-Flash,103,826_103_boostball_arena_3d,10,export,2026-09-18 06:12:54.311256,1511
GLM-5.3-Flash,104,826_104_breach_protocol_3d,10,export,2026-09-14 17:20:18.642355,1544
GLM-5.3-Flash,105,826_105_brightmane_revue_3d,10,export,2026-09-16 00:00:06.512347,1551
GLM-5.3-Flash,106,826_106_cardspire_3d,10,export,2026-09-14 16:41:49.185732,1529
GLM-5.3-Flash,107,826_107_cascade_carnival_3d,10,export,2026-09-14 10:46:07.156854,1469
GLM-5.3-Flash,108,826_108_colossus_ascent_3d,10,export,2026-09-16 13:46:33.945372,1592
GLM-5.3-Flash,109,826_109_driftlayer_cup_3d,10,export,2026-09-16 14:52:12.873941,1504
GLM-5.3-Flash,110,826_110_eightball_hustle_3d,10,export,2026-09-12 22:15:14.553727,1495
GLM-5.3-Flash,111,826_111_emberwatch_district_3d,10,export,2026-09-16 16:03:54.625188,1568
GLM-5.3-Flash,112,826_112_ferment_house_3d,10,export,2026-09-12 17:19:33.408438,1458
GLM-5.3-Flash,113,826_113_frozen_testimony_3d,10,export,2026-09-14 13:44:37.858690,1531
GLM-5.3-Flash,114,826_114_heartbeat_manor_3d,10,export,2026-09-12 18:25:20.364182,1496
GLM-5.3-Flash,115,826_115_horseshoe_haven_3d,10,export,2026-09-12 17:35:53.603657,1476
GLM-5.3-Flash,116,826_116_icebound_tipups_3d,10,export,2026-09-14 15:49:08.605764,1492
GLM-5.3-Flash,117,826_117_ironarm_yard_3d,10,export,2026-09-20 02:41:49.658030,1511
GLM-5.3-Flash,118,826_118_kanpai_kitchen_3d,10,export,2026-09-12 19:15:24.353937,1509
GLM-5.3-Flash,119,826_119_kite_surfer_3d,10,export,2026-09-14 16:01:52.497380,1485
GLM-5.3-Flash,120,826_120_linkage_works_3d,10,export,2026-09-12 19:41:45.515904,1500
GLM-5.3-Flash,121,826_121_moonlit_manor_3d,10,export,2026-09-16 22:18:16.690393,1508
GLM-5.3-Flash,122,826_122_overwatch_vector_3d,10,export,2026-09-12 19:40:47.249119,1505
GLM-5.3-Flash,123,826_123_pallet_pilot_3d,10,export,2026-09-12 20:01:18.733131,1474
GLM-5.3-Flash,124,826_124_pearlback_tides_3d,10,export,2026-09-16 16:02:08.197183,1539
GLM-5.3-Flash,125,826_125_rabbit_hollow_3d,10,export,2026-09-16 17:52:25.341708,1616
GLM-5.3-Flash,126,826_126_reentry_glidepath_3d,10,export,2026-09-14 19:56:59.806885,1516
GLM-5.3-Flash,127,826_127_ripline_tower_3d,10,export,2026-09-12 20:17:47.696005,1484
GLM-5.3-Flash,128,826_128_roadweave_3d,10,export,2026-09-12 21:20:42.959526,1472
GLM-5.3-Flash,129,826_129_seahaven_roam_3d,10,export,2026-09-12 22:57:52.616188,1578
GLM-5.3-Flash,130,826_130_sheepdog_trial_3d,10,export,2026-09-14 17:29:55.755977,1488
GLM-5.3-Flash,131,826_131_skeet_circuit_3d,10,export,2026-09-14 17:25:01.651709,1493
GLM-5.3-Flash,132,826_132_slingshot_siege_3d,10,export,2026-09-12 22:52:01.455864,1489
GLM-5.3-Flash,133,826_133_stairway_haul_3d,10,export,2026-09-14 20:12:34.139905,1562
GLM-5.3-Flash,134,826_134_tatami_ippon_3d,10,export,2026-09-14 19:31:26.472026,1509
GLM-5.3-Flash,135,826_135_titration_atelier_3d,10,export,2026-09-14 20:32:55.976155,1491
GLM-5.3-Flash,136,826_136_tuskroad_3d,10,export,2026-09-16 07:50:15.734155,1551
GLM-5.3-Flash,137,826_137_twin_staff_bout_3d,10,export,2026-09-14 20:26:05.495674,1510
GLM-5.3-Flash,138,826_138_veilstep_sonata_3d,10,export,2026-09-13 04:52:23.725352,1460
GLM-5.3-Flash,139,826_139_wire_whisperer_3d,10,export,2026-09-14 21:04:28.833155,1511
GLM-5.3-Flash,140,827_140_avalanche_escape_3d,5,export,2026-09-13 04:27:07.231791,1484
GLM-5.3-Flash,141,827_141_castle_under_siege_3d,5,export,2026-09-14 21:14:00.186250,1468
GLM-5.3-Flash,142,827_142_colony_blueprint_3d,5,export,2026-09-14 21:16:47.407189,1461
GLM-5.3-Flash,143,827_143_crownfall_lane_3v3_3d,10,export,2026-09-16 20:41:43.887979,1755
GLM-5.3-Flash,144,827_144_defense_protocol_3d,5,export,2026-09-14 21:11:54.357915,1442
GLM-5.3-Flash,145,827_145_expedition_survival_3d,5,export,2026-09-14 22:29:28.668112,1441
GLM-5.3-Flash,146,827_146_factory_automation_3d,5,export,2026-09-14 23:01:22.725454,1482
GLM-5.3-Flash,147,827_147_mech_campaign_3d,5,export,2026-09-14 22:11:39.556806,1485
GLM-5.3-Flash,148,827_148_mill_stream_3d,5,export,2026-09-16 08:16:47.469534,1493
GLM-5.3-Flash,149,827_149_rope_bridge_escape_3d,5,export,2026-09-16 05:50:33.252358,1461
GLM-5.3-Flash,150,827_150_sand_timer_puzzle_3d,5,export,2026-09-16 17:05:42.957442,1457
GLM-5.3-Flash,151,827_151_scout_network_3d,5,export,2026-09-14 22:14:35.005524,1439
GLM-5.3-Flash,152,827_152_shepherds_flock_3d,5,export,2026-09-14 22:06:43.622927,1452
GLM-5.3-Flash,153,827_153_swarm_defense_3d,5,export,2026-09-14 03:03:13.970559,1435
GLM-5.3-Flash,154,827_154_traffic_command_3d,5,export,2026-09-14 05:35:49.996724,1453
GLM-5.3-Flash,155,827_155_wind_sailor_3d,5,sandbox,2026-09-17 03:29:39.563935,1481
